file                        format  type  num_seqs  sum_len  min_len  avg_len  max_len
solution/SRR23803536.fastq  FASTQ   DNA      1,595  218,687       43    137.1      159
solution/SRR23803537.fastq  FASTQ   DNA      1,328  191,361       43    144.1      159
solution/SRR23803538.fastq  FASTQ   DNA        882  125,097       51    141.8      159
solution/SRR23803539.fastq  FASTQ   DNA      1,328  191,361       43    144.1      159
file                                   format  type  num_seqs  sum_len  min_len  avg_len  max_len
solution/SRR23803536.trimmed.fastq.gz  FASTQ   DNA      1,595  218,687       43    137.1      159
solution/SRR23803537.trimmed.fastq.gz  FASTQ   DNA      1,328  191,361       43    144.1      159
solution/SRR23803538.trimmed.fastq.gz  FASTQ   DNA        882  125,097       51    141.8      159
solution/SRR23803539.trimmed.fastq.gz  FASTQ   DNA      1,328  191,361       43    144.1      159
