gene_id	gene_name	ada_car_d43	ada_car_d48	car_d43	car_d48
ENSG00000000003	TSPAN6	0	0	0	0
ENSG00000000005	TNMD	0	0	0	0
ENSG00000000419	DPM1	987.397636121753	818.058606111915	2000.59498933246	1127.08195468832
ENSG00000000457	SCYL3	227.337141266949	225.683713972144	187.339427230176	158.398846160655
ENSG00000000460	FIRRM	307.984505097085	280.205591084609	500.419906881966	409.166714349795
ENSG00000000938	FGR	19.670148048424	7.4696390527817	0.572626505625283	6.56471361311502
ENSG00000000971	CFH	5.05406327179679	13.6413952815933	184.635838133667	21.3801565969214
ENSG00000001036	FUCA2	474.229859869714	434.153878101308	475.104466829716	291.467293885441
ENSG00000001084	GCLC	674.112341412649	456.37372162871	468.672961364898	318.832737908853
ENSG00000001167	NFYA	458.473648041923	339.470140866102	384.202440199708	329.836238625819
ENSG00000001460	STPG1	64.8937628630875	53.7946299038726	88.5447344413341	53.803397000732
ENSG00000001461	NIPAL3	567.053510305407	472.999828325849	383.450844534747	448.177982054009
ENSG00000001497	LAS1L	726.090278566362	553.342617801144	1052.44160623309	752.134078549925
ENSG00000001561	ENPP4	72.0611387296986	46.6636470684468	113.845681170858	85.4627860558961
ENSG00000001617	SEMA3F	0.760861133219344	3.34330163011284	1.66666198446954	4.23519762769256
ENSG00000001626	CFTR	0	0	0	0
ENSG00000001629	ANKIB1	719.645573595434	544.182513699008	710.909121104274	525.539898657914
ENSG00000001630	CYP51A1	554.595378722966	453.984191918544	652.441467638742	558.209939916887
ENSG00000001631	KRIT1	379.310507350886	345.027269209829	359.557643592097	296.948654417252
ENSG00000002016	RAD52	229.376044330586	302.191237861686	154.780785511491	166.407889019835
ENSG00000002079	MYH16	0	0	0	0
ENSG00000002330	BAD	991.825809522079	986.747696029467	1121.45553636689	835.173842978917
ENSG00000002549	LAP3	2666.61943697054	1846.82191313713	8302.44022025309	3288.46972098238
ENSG00000002586	CD99	9751.48365719758	7498.15834985709	7781.78539071872	7924.5394660951
ENSG00000002587	HS3ST1	1.14150927155761	1.6303748019216	9.41278194948536	3.86976329921982
ENSG00000002726	AOC1	0	0	0	0
ENSG00000002745	WNT16	2.71990257412574	1.55392049448735	2.07326981590513	3.20719525428727
ENSG00000002746	HECW1	0.229064635195287	0	0	0.505316452199731
ENSG00000002822	MAD1L1	1359.30041483762	1164.68593891767	535.729404630307	518.335892088334
ENSG00000002834	LASP1	3423.78256751071	3009.0280095853	2916.66074032541	2793.94932014145
ENSG00000002919	SNX11	297.387661257729	419.782131317897	649.509047677456	418.76799713333
ENSG00000002933	TMEM176A	0	0	3.12335780003288	0
ENSG00000003056	M6PR	3303.28182225436	2648.23864717702	2827.25358305292	2045.44532551788
ENSG00000003096	KLHL13	5.53139004765127	3.3730363245065	66.5211020013124	6.18822072270856
ENSG00000003137	CYP26B1	0	0	0	0
ENSG00000003147	ICA1	18.3243261253826	120.918496232013	39.901847311928	144.220438102342
ENSG00000003249	DBNDD1	16.5817045627392	10.1462493657177	0.754868350736922	6.04222068600952
ENSG00000003393	ALS2	148.675720982043	179.432649646861	104.65298733986	96.5889345234533
ENSG00000003400	CASP10	396.306980418342	354.796147386967	447.429700848345	397.209996473199
ENSG00000003402	CFLAR	2375.69859621004	2547.97135075863	4556.45009409746	3579.59491352604
ENSG00000003436	TFPI	14.1990381679294	6.93397108323511	11.6011100467706	9.43590613918943
ENSG00000003509	NDUFAF7	383.040915419284	347.875990408584	412.358267613935	289.371127066407
ENSG00000003756	RBM5	2317.02287977003	2385.16006267498	1926.81331705377	1480.84708789474
ENSG00000003987	MTMR7	13.9885055246753	12.1894508195566	7.10897479693439	10.5561982912457
ENSG00000003989	SLC7A2	0	0	1.18824207656102	0
ENSG00000004059	ARF5	3392.5102406568	3036.39612386514	2676.20826446335	2303.89173416983
ENSG00000004139	SARM1	392.350144172166	250.781769483941	345.620724201144	215.471466719435
ENSG00000004142	POLDIP2	961.231359384432	880.962784485397	1789.24833143664	954.902654303683
ENSG00000004399	PLXND1	60.2131038709006	78.5151146653828	0	12.3890246607414
ENSG00000004455	AK2	3781.96655285534	2780.25306259294	7771.2743421752	6640.62367370296
ENSG00000004468	CD38	2195.04661424373	1901.52559096498	2877.19911600311	1756.0692385031
ENSG00000004478	FKBP4	721.622353531389	596.040885050653	1602.51584716009	1030.70388551859
ENSG00000004487	KDM1A	917.364931416044	877.335994363247	976.833354517078	843.164146110981
ENSG00000004534	RBM6	1886.80345475636	1659.86501105024	1322.91005735223	1239.28858937014
ENSG00000004660	CAMKK1	69.1764191719968	45.8955340568952	16.5969817666313	21.0349673495454
